condition_id,agent_type,agent_label,task_id,task_type,server,execution_mode,server_load_level,servers,repetition,model_id,temperature,success,error,input_tokens,output_tokens,total_tokens,total_latency_ms,tool_call_count,tool_call_success_count,tool_call_success_rate,tool_selection_correctness,task_success,task_grade,response_length,trace_event_count,completed_at
A1_T1-MCP-3_maximal_r1,mcp,A1,T1-MCP-3,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26789,434,27223,23795.69601100229,4,4,1.0,1.0,True,1.0,143,13,2026-03-20T02:33:12.576021+00:00
A3_T1-MCP-3_minimal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9167,580,9747,23426.258719991893,5,5,1.0,1.0,True,1.0,161,19,2026-03-20T02:36:13.909644+00:00
A3_T1-MCP-3_moderate_r1,multi_agent_mcp,A3,T1-MCP-3,T1,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9364,601,9965,21236.206843008404,5,5,1.0,1.0,True,1.0,165,19,2026-03-20T02:36:44.353963+00:00
A3_T1-MCP-3_maximal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9336,588,9924,21478.87601000548,5,5,1.0,1.0,True,1.0,165,19,2026-03-20T02:37:15.173332+00:00
A1_T2-MCP-4_minimal_r1,mcp,A1,T2-MCP-4,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,12827,925,13752,17492.368050006917,4,4,1.0,1.0,True,0.98,813,13,2026-03-20T02:39:57.620637+00:00
A1_T2-MCP-4_moderate_r1,mcp,A1,T2-MCP-4,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,40024,1442,41466,28161.434263995037,5,4,0.8,1.0,True,1.0,992,16,2026-03-20T02:40:36.237860+00:00
A1_T2-MCP-4_maximal_r1,mcp,A1,T2-MCP-4,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,31506,861,32367,20382.14717600204,4,4,1.0,1.0,True,1.0,672,13,2026-03-20T02:41:06.923398+00:00
A3_T2-MCP-4_minimal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,52418,3810,56228,75874.53111899958,16,16,1.0,0.0,True,1.0,851,25,2026-03-20T02:47:25.887710+00:00
A3_T2-MCP-4_moderate_r1,multi_agent_mcp,A3,T2-MCP-4,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,70332,4516,74848,86553.00283100223,19,19,1.0,1.0,True,1.0,958,32,2026-03-20T02:48:59.756453+00:00
A3_T2-MCP-4_maximal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,49225,4022,53247,73160.30286700698,13,11,0.8461538461538461,1.0,True,1.0,945,33,2026-03-20T02:50:19.365713+00:00
A1_T2-MCP-5_minimal_r1,mcp,A1,T2-MCP-5,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,6309,761,7070,16108.503673996893,3,3,1.0,1.0,True,1.0,1242,10,2026-03-20T03:01:38.942744+00:00
A1_T2-MCP-5_moderate_r1,mcp,A1,T2-MCP-5,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21330,804,22134,18418.53955000988,3,3,1.0,1.0,True,1.0,1357,10,2026-03-20T03:02:06.349051+00:00
A1_T2-MCP-5_maximal_r1,mcp,A1,T2-MCP-5,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21215,696,21911,16505.170382995857,3,3,1.0,1.0,True,1.0,1260,10,2026-03-20T03:02:32.900753+00:00
A3_T2-MCP-5_minimal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10845,1484,12329,27258.26167900232,5,5,1.0,1.0,True,1.0,1335,19,2026-03-20T03:05:49.751074+00:00
A3_T2-MCP-5_moderate_r1,multi_agent_mcp,A3,T2-MCP-5,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8002,1254,9256,22390.305968001485,4,4,1.0,1.0,True,1.0,1183,16,2026-03-20T03:06:18.546751+00:00
A3_T2-MCP-5_maximal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,11013,1480,12493,28603.27826300636,5,5,1.0,1.0,True,1.0,1267,19,2026-03-20T03:06:54.463833+00:00
A1_T2-MCP-6_minimal_r1,mcp,A1,T2-MCP-6,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,7167,954,8121,17622.024715994485,3,3,1.0,1.0,True,0.95,1762,10,2026-03-20T03:12:49.934223+00:00
A1_T2-MCP-6_moderate_r1,mcp,A1,T2-MCP-6,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,22120,886,23006,16854.838548999396,3,3,1.0,1.0,False,0.7,1594,10,2026-03-20T03:13:15.876603+00:00
A1_T2-MCP-6_maximal_r1,mcp,A1,T2-MCP-6,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,22115,860,22975,18344.37009099929,3,3,1.0,1.0,False,0.7,1479,10,2026-03-20T03:13:42.322694+00:00
